id,layer,templateId,tags,question,optionA,optionB,optionC,optionD,axes,sensitivity
"L1-L1-11-006-df12c96c","L1","L1-11","饮食","最近这段时间，家里聊到「口味突然变了」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-11-007-464bf8f9","L1","L1-11","饮食","在我们家沟通里，家里聊到「口味突然变了」时，我更希望？","别上升到身体健康焦虑","尊重我的口味变化","给我选项，别替我点餐决定","当作小事，别反复提","deescalate|respect|choice|light","normal"
"L1-L1-10-052-f55f58ea","L1","L1-10","习惯|提醒","关于「穿得更随性」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-025-a33fc52d","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「周末不回家」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-026-d30c90f8","L1","L1-10","习惯|提醒","最近这段时间，关于「周末不回家」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-023-9bfba5ff","L1","L1-10","习惯|提醒","在我们家沟通里，关于「很少发家庭群消息」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-024-49006d31","L1","L1-10","习惯|提醒","关于「周末不回家」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-027-786e86d6","L1","L1-10","习惯|提醒","在我们家沟通里，关于「周末不回家」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-030-b30693e6","L1","L1-10","习惯|提醒","最近这段时间，关于「花小钱买喜欢的东西」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-031-5e1a13e4","L1","L1-10","习惯|提醒","在我们家沟通里，关于「花小钱买喜欢的东西」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-028-df906ff9","L1","L1-10","习惯|提醒","关于「花小钱买喜欢的东西」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-029-37a73f34","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「花小钱买喜欢的东西」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-022-74bfe88c","L1","L1-10","习惯|提醒","最近这段时间，关于「很少发家庭群消息」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-015-95f952a9","L1","L1-10","习惯|提醒","在我们家沟通里，关于「房间有点乱」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-016-922980a4","L1","L1-10","习惯|提醒","关于「染了或换了发型」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-013-61dbaee0","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「房间有点乱」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-014-0be28938","L1","L1-10","习惯|提醒","最近这段时间，关于「房间有点乱」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-017-2a175f52","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「染了或换了发型」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-020-b4f0db49","L1","L1-10","习惯|提醒","关于「很少发家庭群消息」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-021-1f9f459d","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「很少发家庭群消息」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-018-3d06e725","L1","L1-10","习惯|提醒","最近这段时间，关于「染了或换了发型」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-019-e8d4a0a3","L1","L1-10","习惯|提醒","在我们家沟通里，关于「染了或换了发型」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-032-b8358470","L1","L1-10","习惯|提醒","关于「购物偏线上」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-045-bd78e178","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「喜欢戴耳机独处」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-046-f8c88603","L1","L1-10","习惯|提醒","最近这段时间，关于「喜欢戴耳机独处」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-043-3981b9af","L1","L1-10","习惯|提醒","在我们家沟通里，关于「喝咖啡提神」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-044-9f877e11","L1","L1-10","习惯|提醒","关于「喜欢戴耳机独处」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-047-a5c871e1","L1","L1-10","习惯|提醒","在我们家沟通里，关于「喜欢戴耳机独处」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-050-138b5c0b","L1","L1-10","习惯|提醒","最近这段时间，关于「不吃早饭」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-051-7bf55ecc","L1","L1-10","习惯|提醒","在我们家沟通里，关于「不吃早饭」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-048-835d6859","L1","L1-10","习惯|提醒","关于「不吃早饭」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-049-dcd9f970","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「不吃早饭」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-042-a5dee018","L1","L1-10","习惯|提醒","最近这段时间，关于「喝咖啡提神」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-035-fe1fc81a","L1","L1-10","习惯|提醒","在我们家沟通里，关于「购物偏线上」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-036-52943252","L1","L1-10","习惯|提醒","关于「养了兴趣班之外的爱好」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-033-d9901ad9","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「购物偏线上」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-034-35e768fa","L1","L1-10","习惯|提醒","最近这段时间，关于「购物偏线上」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-037-49202751","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「养了兴趣班之外的爱好」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-040-f989d360","L1","L1-10","习惯|提醒","关于「喝咖啡提神」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-041-7e027c5d","L1","L1-10","习惯|提醒","如果只能选一个更贴近的：关于「喝咖啡提神」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-038-171bf1c3","L1","L1-10","习惯|提醒","最近这段时间，关于「养了兴趣班之外的爱好」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-10-039-843e7579","L1","L1-10","习惯|提醒","在我们家沟通里，关于「养了兴趣班之外的爱好」，什么样的提醒我比较能接受？","点到为止的一句","用关心口吻，别用命令","写在消息里，别反复电话","先问我是否需要提醒","short|tone|channel|ask","normal"
"L1-L1-12-012-401e4fb8","L1","L1-12","作息","我「白天补觉」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-013-9c36a228","L1","L1-12","作息","如果只能选一个更贴近的：我「白天补觉」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-010-52044753","L1","L1-12","作息","最近这段时间，我「失眠躺着睡不着」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-011-22d87032","L1","L1-12","作息","在我们家沟通里，我「失眠躺着睡不着」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-014-6747c5a0","L1","L1-12","作息","最近这段时间，我「白天补觉」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-017-fc023cbc","L1","L1-12","作息","如果只能选一个更贴近的：我「倒时差睡乱了」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-018-3f4d5b11","L1","L1-12","作息","最近这段时间，我「倒时差睡乱了」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-015-deaa7f6e","L1","L1-12","作息","在我们家沟通里，我「白天补觉」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-016-18222904","L1","L1-12","作息","我「倒时差睡乱了」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-009-ff420e29","L1","L1-12","作息","如果只能选一个更贴近的：我「失眠躺着睡不着」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-002-f8894029","L1","L1-12","作息","最近这段时间，我「想把作息往前调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-003-b03a6c31","L1","L1-12","作息","在我们家沟通里，我「想把作息往前调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-000-89899f90","L1","L1-12","作息","我「想把作息往前调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-001-9c176eb5","L1","L1-12","作息","如果只能选一个更贴近的：我「想把作息往前调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-004-98b80a9c","L1","L1-12","作息","我「想把作息往后调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-007-dad04bcd","L1","L1-12","作息","在我们家沟通里，我「想把作息往后调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-008-7ebf3edb","L1","L1-12","作息","我「失眠躺着睡不着」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-005-c47a68df","L1","L1-12","作息","如果只能选一个更贴近的：我「想把作息往后调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-006-a87948af","L1","L1-12","作息","最近这段时间，我「想把作息往后调」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-019-c3ebb78c","L1","L1-12","作息","在我们家沟通里，我「倒时差睡乱了」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-032-fa5bb42f","L1","L1-12","作息","我「周末想睡到自然醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-033-15771263","L1","L1-12","作息","如果只能选一个更贴近的：我「周末想睡到自然醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-030-e13c31ce","L1","L1-12","作息","最近这段时间，我「想晚睡一会」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-031-e1c68b2a","L1","L1-12","作息","在我们家沟通里，我「想晚睡一会」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-034-d7db3774","L1","L1-12","作息","最近这段时间，我「周末想睡到自然醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-037-81511c0e","L1","L1-12","作息","如果只能选一个更贴近的：我「被早起电话吵醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-038-cae0590d","L1","L1-12","作息","最近这段时间，我「被早起电话吵醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-035-82abb7a9","L1","L1-12","作息","在我们家沟通里，我「周末想睡到自然醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
"L1-L1-12-036-d5efc57d","L1","L1-12","作息","我「被早起电话吵醒」，你们怎样解读更贴近我？","我在用自己的方式恢复","阶段性状态，不代表堕落","我需要边界，不是故意对抗","我知道利害，请少一点压力","recover|phase|boundary|pressure","normal"
